agent 0 and agent 1   p_force[a][ 2.33305979e-03 -2.97813481e+00],p_force[b][-1.08002988e-03 -2.99357933e+00] f_a[ 4.96846205e-192 -3.08776015e-190],f_b[-4.96846205e-192  3.08776015e-190]
agent 0 and agent 2   p_force[a][ 2.33305979e-03 -2.97813481e+00],p_force[b][ 1.86152369 -1.09839982] f_a[ 7.11545884e-300 -1.67113391e-299],f_b[-7.11545884e-300  1.67113391e-299]
agent 0 and agent 3   p_force[a][ 2.33305979e-03 -2.97813481e+00],p_force[b][3.99978328e+00 3.90281684e-06] f_a[-0.  0.],f_b[ 0. -0.]
agent 0 and landmark 0   p_force[a][ 2.33305979e-03 -2.97813481e+00],p_force[b][3.99978328e+00 3.90281684e-06] f_a[-2.41887488e-102 -1.79085642e-102],f_bNone
agent 0 and landmark 1   p_force[a][ 2.33305979e-03 -2.97813481e+00],p_force[b][3.99978328e+00 3.90281684e-06] f_a[5.55626020e-221 3.64311267e-220],f_bNone
agent 1 and agent 2   p_force[a][-1.08002988e-03 -2.99357933e+00],p_force[b][ 1.86152369 -1.09839982] f_a[ 1.06804910e-96 -6.21896134e-97],f_b[-1.06804910e-96  6.21896134e-97]
agent 1 and agent 3   p_force[a][-1.08002988e-03 -2.99357933e+00],p_force[b][3.99978328e+00 3.90281684e-06] f_a[-0.  0.],f_b[ 0. -0.]
agent 1 and landmark 0   p_force[a][-1.08002988e-03 -2.99357933e+00],p_force[b][3.99978328e+00 3.90281684e-06] f_a[-1.11776041e-100  7.55676082e-101],f_bNone
agent 1 and landmark 1   p_force[a][-1.08002988e-03 -2.99357933e+00],p_force[b][3.99978328e+00 3.90281684e-06] f_a[0. 0.],f_bNone
agent 2 and agent 3   p_force[a][ 1.86152369 -1.09839982],p_force[b][3.99978328e+00 3.90281684e-06] f_a[-0.  0.],f_b[ 0. -0.]
agent 2 and landmark 0   p_force[a][ 1.86152369 -1.09839982],p_force[b][3.99978328e+00 3.90281684e-06] f_a[-4.89185902e-260  3.10870979e-260],f_bNone
agent 2 and landmark 1   p_force[a][ 1.86152369 -1.09839982],p_force[b][3.99978328e+00 3.90281684e-06] f_a[-0.  0.],f_bNone
agent 3 and landmark 0   p_force[a][3.99978328e+00 3.90281684e-06],p_force[b][3.99978328e+00 3.90281684e-06] f_a[ 0. -0.],f_bNone
agent 3 and landmark 1   p_force[a][3.99978328e+00 3.90281684e-06],p_force[b][3.99978328e+00 3.90281684e-06] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][3.99978328e+00 3.90281684e-06],p_force[b][3.99978328e+00 3.90281684e-06] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 0.02675115 -2.78102338],p_force[b][ 3.19307335e-04 -2.99908519e+00] f_a[ 5.81756425e-192 -3.60138989e-190],f_b[-5.81756425e-192  3.60138989e-190]
agent 0 and agent 2   p_force[a][ 0.02675115 -2.78102338],p_force[b][ 2.17594689 -0.76663399] f_a[ 2.08720464e-304 -5.32485031e-304],f_b[-2.08720464e-304  5.32485031e-304]
agent 0 and agent 3   p_force[a][ 0.02675115 -2.78102338],p_force[b][ 3.99915671e+00 -8.66903974e-07] f_a[-0.  0.],f_b[ 0. -0.]
agent 0 and landmark 0   p_force[a][ 0.02675115 -2.78102338],p_force[b][ 3.99915671e+00 -8.66903974e-07] f_a[-2.77188864e-110 -2.25515184e-110],f_bNone
agent 0 and landmark 1   p_force[a][ 0.02675115 -2.78102338],p_force[b][ 3.99915671e+00 -8.66903974e-07] f_a[3.46897892e-208 2.18601659e-207],f_bNone
agent 1 and agent 2   p_force[a][ 3.19307335e-04 -2.99908519e+00],p_force[b][ 2.17594689 -0.76663399] f_a[ 2.88078411e-94 -1.96458406e-94],f_b[-2.88078411e-94  1.96458406e-94]
agent 1 and agent 3   p_force[a][ 3.19307335e-04 -2.99908519e+00],p_force[b][ 3.99915671e+00 -8.66903974e-07] f_a[-0.  0.],f_b[ 0. -0.]
agent 1 and landmark 0   p_force[a][ 3.19307335e-04 -2.99908519e+00],p_force[b][ 3.99915671e+00 -8.66903974e-07] f_a[-1.16240668e-93  7.02278070e-94],f_bNone
agent 1 and landmark 1   p_force[a][ 3.19307335e-04 -2.99908519e+00],p_force[b][ 3.99915671e+00 -8.66903974e-07] f_a[0. 0.],f_bNone
agent 2 and agent 3   p_force[a][ 2.17594689 -0.76663399],p_force[b][ 3.99915671e+00 -8.66903974e-07] f_a[-0.  0.],f_b[ 0. -0.]
agent 2 and landmark 0   p_force[a][ 2.17594689 -0.76663399],p_force[b][ 3.99915671e+00 -8.66903974e-07] f_a[-1.17742942e-250  7.49632423e-251],f_bNone
agent 2 and landmark 1   p_force[a][ 2.17594689 -0.76663399],p_force[b][ 3.99915671e+00 -8.66903974e-07] f_a[-0.  0.],f_bNone
agent 3 and landmark 0   p_force[a][ 3.99915671e+00 -8.66903974e-07],p_force[b][ 3.99915671e+00 -8.66903974e-07] f_a[ 0. -0.],f_bNone
agent 3 and landmark 1   p_force[a][ 3.99915671e+00 -8.66903974e-07],p_force[b][ 3.99915671e+00 -8.66903974e-07] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][ 3.99915671e+00 -8.66903974e-07],p_force[b][ 3.99915671e+00 -8.66903974e-07] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 0.02396317 -2.88981378],p_force[b][ 0.01886622 -2.98082614] f_a[ 5.95331124e-191 -3.56122000e-189],f_b[-5.95331124e-191  3.56122000e-189]
agent 0 and agent 2   p_force[a][ 0.02396317 -2.88981378],p_force[b][ 2.60157233 -0.35709961] f_a[ 3.21632501e-313 -9.67459077e-313],f_b[-3.21632501e-313  9.67459077e-313]
agent 0 and agent 3   p_force[a][ 0.02396317 -2.88981378],p_force[b][3.99996233e+00 5.01788691e-08] f_a[-0.  0.],f_b[ 0. -0.]
agent 0 and landmark 0   p_force[a][ 0.02396317 -2.88981378],p_force[b][3.99996233e+00 5.01788691e-08] f_a[-1.48741078e-124 -1.39435815e-124],f_bNone
agent 0 and landmark 1   p_force[a][ 0.02396317 -2.88981378],p_force[b][3.99996233e+00 5.01788691e-08] f_a[1.09657678e-186 6.42586988e-186],f_bNone
