agent 0 and agent 1   p_force[a][ 6.39990449e-05 -6.26390417e-07],p_force[b][-0.02366116  2.9370718 ] f_a[2.30646786e-227 5.24522592e-229],f_b[-2.30646786e-227 -5.24522592e-229]
agent 0 and agent 2   p_force[a][ 6.39990449e-05 -6.26390417e-07],p_force[b][2.99999142e+00 4.80918175e-06] f_a[-0. -0.],f_b[0. 0.]
agent 0 and agent 3   p_force[a][ 6.39990449e-05 -6.26390417e-07],p_force[b][3.99901986e+00 1.68623417e-04] f_a[-0. -0.],f_b[0. 0.]
agent 0 and landmark 0   p_force[a][ 6.39990449e-05 -6.26390417e-07],p_force[b][3.99901986e+00 1.68623417e-04] f_a[-5.620271e-317  7.518879e-318],f_bNone
agent 0 and landmark 1   p_force[a][ 6.39990449e-05 -6.26390417e-07],p_force[b][3.99901986e+00 1.68623417e-04] f_a[-9.45852573  1.8575682 ],f_bNone
agent 1 and agent 2   p_force[a][-0.02366116  2.9370718 ],p_force[b][2.99999142e+00 4.80918175e-06] f_a[-0. -0.],f_b[0. 0.]
agent 1 and agent 3   p_force[a][-0.02366116  2.9370718 ],p_force[b][3.99901986e+00 1.68623417e-04] f_a[-0. -0.],f_b[0. 0.]
agent 1 and landmark 0   p_force[a][-0.02366116  2.9370718 ],p_force[b][3.99901986e+00 1.68623417e-04] f_a[-0.  0.],f_bNone
agent 1 and landmark 1   p_force[a][-0.02366116  2.9370718 ],p_force[b][3.99901986e+00 1.68623417e-04] f_a[-9.82483211e-249  2.23881595e-250],f_bNone
agent 2 and agent 3   p_force[a][2.99999142e+00 4.80918175e-06],p_force[b][3.99901986e+00 1.68623417e-04] f_a[-9.5304405e-243  3.8846899e-243],f_b[ 9.5304405e-243 -3.8846899e-243]
agent 2 and landmark 0   p_force[a][2.99999142e+00 4.80918175e-06],p_force[b][3.99901986e+00 1.68623417e-04] f_a[-0.  0.],f_bNone
agent 2 and landmark 1   p_force[a][2.99999142e+00 4.80918175e-06],p_force[b][3.99901986e+00 1.68623417e-04] f_a[0. 0.],f_bNone
agent 3 and landmark 0   p_force[a][3.99901986e+00 1.68623417e-04],p_force[b][3.99901986e+00 1.68623417e-04] f_a[-0.  0.],f_bNone
agent 3 and landmark 1   p_force[a][3.99901986e+00 1.68623417e-04],p_force[b][3.99901986e+00 1.68623417e-04] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][3.99901986e+00 1.68623417e-04],p_force[b][3.99901986e+00 1.68623417e-04] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 2.26719026e-02 -9.41306007e-06],p_force[b][-0.05129077  2.91870743] f_a[2.54431734e-186 1.95169558e-188],f_b[-2.54431734e-186 -1.95169558e-188]
agent 0 and agent 2   p_force[a][ 2.26719026e-02 -9.41306007e-06],p_force[b][2.99992239e+00 3.32236023e-05] f_a[-0. -0.],f_b[0. 0.]
agent 0 and agent 3   p_force[a][ 2.26719026e-02 -9.41306007e-06],p_force[b][3.99905992e+00 4.58532129e-04] f_a[-0. -0.],f_b[0. 0.]
agent 0 and landmark 0   p_force[a][ 2.26719026e-02 -9.41306007e-06],p_force[b][3.99905992e+00 4.58532129e-04] f_a[-0.  0.],f_bNone
agent 0 and landmark 1   p_force[a][ 2.26719026e-02 -9.41306007e-06],p_force[b][3.99905992e+00 4.58532129e-04] f_a[-0.06804634  0.01336371],f_bNone
agent 1 and agent 2   p_force[a][-0.05129077  2.91870743],p_force[b][2.99992239e+00 3.32236023e-05] f_a[-0. -0.],f_b[0. 0.]
agent 1 and agent 3   p_force[a][-0.05129077  2.91870743],p_force[b][3.99905992e+00 4.58532129e-04] f_a[-0. -0.],f_b[0. 0.]
agent 1 and landmark 0   p_force[a][-0.05129077  2.91870743],p_force[b][3.99905992e+00 4.58532129e-04] f_a[-0.  0.],f_bNone
agent 1 and landmark 1   p_force[a][-0.05129077  2.91870743],p_force[b][3.99905992e+00 4.58532129e-04] f_a[-2.38172548e-249  1.37162851e-250],f_bNone
agent 2 and agent 3   p_force[a][2.99992239e+00 3.32236023e-05],p_force[b][3.99905992e+00 4.58532129e-04] f_a[-9.07977910e-247  3.64307219e-247],f_b[ 9.07977910e-247 -3.64307219e-247]
agent 2 and landmark 0   p_force[a][2.99992239e+00 3.32236023e-05],p_force[b][3.99905992e+00 4.58532129e-04] f_a[-0.  0.],f_bNone
agent 2 and landmark 1   p_force[a][2.99992239e+00 3.32236023e-05],p_force[b][3.99905992e+00 4.58532129e-04] f_a[0. 0.],f_bNone
agent 3 and landmark 0   p_force[a][3.99905992e+00 4.58532129e-04],p_force[b][3.99905992e+00 4.58532129e-04] f_a[-0.  0.],f_bNone
agent 3 and landmark 1   p_force[a][3.99905992e+00 4.58532129e-04],p_force[b][3.99905992e+00 4.58532129e-04] f_a[0. 0.],f_bNone
landmark 0 and landmark 1   p_force[a][3.99905992e+00 4.58532129e-04],p_force[b][3.99905992e+00 4.58532129e-04] f_aNone,f_bNone
agent 0 and agent 1   p_force[a][ 1.91434908e+00 -8.70546908e-04],p_force[b][-7.44892925e-04  2.99202508e+00] f_a[ 4.52025258e-156 -2.94153823e-157],f_b[-4.52025258e-156  2.94153823e-157]
agent 0 and agent 2   p_force[a][ 1.91434908e+00 -8.70546908e-04],p_force[b][2.99984515e+00 1.38470656e-04] f_a[-0. -0.],f_b[0. 0.]
