agent 0    vel:[0. 0.]  force:[array([ 2.33305979e-03, -2.97813481e+00]), array([-1.08002988e-03, -2.99357933e+00]), array([ 1.86152369, -1.09839982]), array([3.99978328e+00, 3.90281684e-06]), None, None]
agent 1    vel:[0. 0.]  force:[array([ 2.33305979e-03, -2.97813481e+00]), array([-1.08002988e-03, -2.99357933e+00]), array([ 1.86152369, -1.09839982]), array([3.99978328e+00, 3.90281684e-06]), None, None]
agent 2    vel:[0. 0.]  force:[array([ 2.33305979e-03, -2.97813481e+00]), array([-1.08002988e-03, -2.99357933e+00]), array([ 1.86152369, -1.09839982]), array([3.99978328e+00, 3.90281684e-06]), None, None]
agent 3    vel:[0. 0.]  force:[array([ 2.33305979e-03, -2.97813481e+00]), array([-1.08002988e-03, -2.99357933e+00]), array([ 1.86152369, -1.09839982]), array([3.99978328e+00, 3.90281684e-06]), None, None]
agent 0    vel:[ 2.33305979e-04 -2.97813481e-01]  force:[array([ 0.02675115, -2.78102338]), array([ 3.19307335e-04, -2.99908519e+00]), array([ 2.17594689, -0.76663399]), array([ 3.99915671e+00, -8.66903974e-07]), None, None]
agent 1    vel:[-1.08002988e-04 -2.99357933e-01]  force:[array([ 0.02675115, -2.78102338]), array([ 3.19307335e-04, -2.99908519e+00]), array([ 2.17594689, -0.76663399]), array([ 3.99915671e+00, -8.66903974e-07]), None, None]
agent 2    vel:[ 0.18615237 -0.10983998]  force:[array([ 0.02675115, -2.78102338]), array([ 3.19307335e-04, -2.99908519e+00]), array([ 2.17594689, -0.76663399]), array([ 3.99915671e+00, -8.66903974e-07]), None, None]
agent 3    vel:[3.99978328e-01 3.90281684e-07]  force:[array([ 0.02675115, -2.78102338]), array([ 3.19307335e-04, -2.99908519e+00]), array([ 2.17594689, -0.76663399]), array([ 3.99915671e+00, -8.66903974e-07]), None, None]
agent 0    vel:[ 0.00285009 -0.50146245]  force:[array([ 0.02396317, -2.88981378]), array([ 0.01886622, -2.98082614]), array([ 2.60157233, -0.35709961]), array([3.99996233e+00, 5.01788691e-08]), None, None]
agent 1    vel:[-4.90715072e-05 -5.24426968e-01]  force:[array([ 0.02396317, -2.88981378]), array([ 0.01886622, -2.98082614]), array([ 2.60157233, -0.35709961]), array([3.99996233e+00, 5.01788691e-08]), None, None]
agent 2    vel:[ 0.35720897 -0.15904339]  force:[array([ 0.02396317, -2.88981378]), array([ 0.01886622, -2.98082614]), array([ 2.60157233, -0.35709961]), array([3.99996233e+00, 5.01788691e-08]), None, None]
agent 3    vel:[6.99899417e-01 2.06020866e-07]  force:[array([ 0.02396317, -2.88981378]), array([ 0.01886622, -2.98082614]), array([ 2.60157233, -0.35709961]), array([3.99996233e+00, 5.01788691e-08]), None, None]
agent 0    vel:[ 0.00453389 -0.66507821]  force:[array([ 0.37220641, -2.5058527 ]), array([ 0.02055045, -2.97724843]), array([ 0.64481445, -2.11945832]), array([3.99944186e+00, 1.76691765e-06]), None, None]
agent 1    vel:[ 0.00184982 -0.69140284]  force:[array([ 0.37220641, -2.5058527 ]), array([ 0.02055045, -2.97724843]), array([ 0.64481445, -2.11945832]), array([3.99944186e+00, 1.76691765e-06]), None, None]
agent 2    vel:[ 0.52806396 -0.1549925 ]  force:[array([ 0.37220641, -2.5058527 ]), array([ 0.02055045, -2.97724843]), array([ 0.64481445, -2.11945832]), array([3.99944186e+00, 1.76691765e-06]), None, None]
agent 3    vel:[-9.24920796e-01  1.59533536e-07]  force:[array([ 0.37220641, -2.5058527 ]), array([ 0.02055045, -2.97724843]), array([ 0.64481445, -2.11945832]), array([3.99944186e+00, 1.76691765e-06]), None, None]
agent 0    vel:[ 0.04062106 -0.74939393]  force:[array([ 2.91047537, -0.08638993]), array([ 0.23541516, -2.75968194]), array([ 1.36049786, -1.60197616]), array([3.99986744e+00, 6.63686205e-06]), None, None]
agent 1    vel:[ 0.00344241 -0.81627697]  force:[array([ 2.91047537, -0.08638993]), array([ 0.23541516, -2.75968194]), array([ 1.36049786, -1.60197616]), array([3.99986744e+00, 6.63686205e-06]), None, None]
agent 2    vel:[ 0.46052941 -0.32819021]  force:[array([ 2.91047537, -0.08638993]), array([ 0.23541516, -2.75968194]), array([ 1.36049786, -1.60197616]), array([3.99986744e+00, 6.63686205e-06]), None, None]
agent 3    vel:[-2.93746411e-01  2.96341917e-07]  force:[array([ 2.91047537, -0.08638993]), array([ 0.23541516, -2.75968194]), array([ 1.36049786, -1.60197616]), array([3.99986744e+00, 6.63686205e-06]), None, None]
agent 0    vel:[ 0.32151333 -0.57068444]  force:[array([ 2.27029055, -0.65731457]), array([ 2.94192249, -0.05621791]), array([ 2.95308959, -0.04672874]), array([3.99910831e+00, 9.37622535e-05]), None, None]
agent 1    vel:[ 0.02612332 -0.88817592]  force:[array([ 2.27029055, -0.65731457]), array([ 2.94192249, -0.05621791]), array([ 2.95308959, -0.04672874]), array([3.99910831e+00, 9.37622535e-05]), None, None]
agent 2    vel:[ 0.48144685 -0.40634027]  force:[array([ 2.27029055, -0.65731457]), array([ 2.94192249, -0.05621791]), array([ 2.95308959, -0.04672874]), array([3.99910831e+00, 9.37622535e-05]), None, None]
agent 3    vel:[1.79676936e-01 8.85942643e-07]  force:[array([ 2.27029055, -0.65731457]), array([ 2.94192249, -0.05621791]), array([ 2.95308959, -0.04672874]), array([3.99910831e+00, 9.37622535e-05]), None, None]
agent 0    vel:[ 0.46816405 -0.49374479]  force:[array([ 1.73846394, -1.21287909]), array([ 1.48430309, -1.49166083]), array([ 1.41454107, -1.52093053]), array([3.99919033e+00, 1.12957423e-07]), None, None]
agent 1    vel:[ 0.31378474 -0.67175373]  force:[array([ 1.73846394, -1.21287909]), array([ 1.48430309, -1.49166083]), array([ 1.41454107, -1.52093053]), array([3.99919033e+00, 1.12957423e-07]), None, None]
agent 2    vel:[ 0.65639409 -0.30942808]  force:[array([ 1.73846394, -1.21287909]), array([ 1.48430309, -1.49166083]), array([ 1.41454107, -1.52093053]), array([3.99919033e+00, 1.12957423e-07]), None, None]
agent 3    vel:[-5.34668533e-01  1.00406823e-05]  force:[array([ 1.73846394, -1.21287909]), array([ 1.48430309, -1.49166083]), array([ 1.41454107, -1.52093053]), array([3.99919033e+00, 1.12957423e-07]), None, None]
agent 0    vel:[ 0.52496943 -0.4915965 ]  force:[array([ 2.95514899, -0.02842013]), array([ 1.46849129, -1.52432531]), array([ 0.12599394, -2.86632246]), array([ 3.99697423e+00, -1.83723954e-04]), None, None]
agent 1    vel:[ 0.38376886 -0.65298138]  force:[array([ 2.95514899, -0.02842013]), array([ 1.46849129, -1.52432531]), array([ 0.12599394, -2.86632246]), array([ 3.99697423e+00, -1.83723954e-04]), None, None]
agent 2    vel:[ 0.63374968 -0.38416411]  force:[array([ 2.95514899, -0.02842013]), array([ 1.46849129, -1.52432531]), array([ 0.12599394, -2.86632246]), array([ 3.99697423e+00, -1.83723954e-04]), None, None]
agent 3    vel:[-1.08236699e-03  7.54180749e-06]  force:[array([ 2.95514899, -0.02842013]), array([ 1.46849129, -1.52432531]), array([ 0.12599394, -2.86632246]), array([ 3.99697423e+00, -1.83723954e-04]), None, None]
agent 0    vel:[ 0.68924197 -0.37153939]  force:[array([ 2.9663052, -0.0137629]), array([ 0.37516165, -2.62298566]), array([ 0.39985313, -2.54231805]), array([ 3.99826264e+00, -1.42284017e-03]), None, None]
agent 1    vel:[ 0.43467578 -0.64216857]  force:[array([ 2.9663052, -0.0137629]), array([ 0.37516165, -2.62298566]), array([ 0.39985313, -2.54231805]), array([ 3.99826264e+00, -1.42284017e-03]), None, None]
agent 2    vel:[ 0.48791165 -0.57475533]  force:[array([ 2.9663052, -0.0137629]), array([ 0.37516165, -2.62298566]), array([ 0.39985313, -2.54231805]), array([ 3.99826264e+00, -1.42284017e-03]), None, None]
agent 3    vel:[-3.98885648e-01 -1.27160398e-05]  force:[array([ 2.9663052, -0.0137629]), array([ 0.37516165, -2.62298566]), array([ 0.39985313, -2.54231805]), array([ 3.99826264e+00, -1.42284017e-03]), None, None]
agent 0    vel:[ 0.813562   -0.28003083]  force:[array([ 2.98172575e+00, -2.11784919e-03]), array([ 2.82478684, -0.1525101 ]), array([ 2.89560735, -0.07686146]), array([ 3.99840856e+00, -1.01478095e-03]), None, None]
agent 1    vel:[ 0.363523   -0.74392499]  force:[array([ 2.98172575e+00, -2.11784919e-03]), array([ 2.82478684, -0.1525101 ]), array([ 2.89560735, -0.07686146]), array([ 3.99840856e+00, -1.01478095e-03]), None, None]
agent 2    vel:[ 0.40591905 -0.6852983 ]  force:[array([ 2.98172575e+00, -2.11784919e-03]), array([ 2.82478684, -0.1525101 ]), array([ 2.89560735, -0.07686146]), array([ 3.99840856e+00, -1.01478095e-03]), None, None]
agent 3    vel:[ 0.10066203 -0.00015182]  force:[array([ 2.98172575e+00, -2.11784919e-03]), array([ 2.82478684, -0.1525101 ]), array([ 2.89560735, -0.07686146]), array([ 3.99840856e+00, -1.01478095e-03]), None, None]
agent 0    vel:[ 0.90834408 -0.21023491]  force:[array([2.98817986, 0.00460941]), array([ 2.98631376, -0.01342588]), array([ 2.38046761, -0.28576931]), array([ 3.99089241, -0.00659677]), None, None]
agent 1    vel:[ 0.55512093 -0.57319475]  force:[array([2.98817986, 0.00460941]), array([ 2.98631376, -0.01342588]), array([ 2.38046761, -0.28576931]), array([ 3.99089241, -0.00659677]), None, None]
agent 2    vel:[ 0.59400002 -0.52165987]  force:[array([2.98817986, 0.00460941]), array([ 2.98631376, -0.01342588]), array([ 2.38046761, -0.28576931]), array([ 3.99089241, -0.00659677]), None, None]
agent 3    vel:[-4.75337377e-01 -2.15343880e-04]  force:[array([2.98817986, 0.00460941]), array([ 2.98631376, -0.01342588]), array([ 2.38046761, -0.28576931]), array([ 3.99089241, -0.00659677]), None, None]
agent 2andlandmark 0 force:[-7.48852596  2.45236869]
agent 0    vel:[ 0.98007604 -0.15721524]  force:[array([2.99530792e+00, 6.84196420e-05]), array([ 2.99585813, -0.00403928]), array([-5.92907337,  1.18032606]), array([ 3.86646509, -0.05955464]), None, None]
